State,Book,Courseware,Exam,Homework,Info,Profile,Tutorial
A Students,0.0555462129265,0.623602389406,0.0797307031952,0.0855804858923,0.0319018122667,0.0438403638163,0.0249737392638
B Students,0.0569374656573,0.620616629717,0.0804071572386,0.0855803066443,0.0324942855815,0.043343360656,0.0253467633965
C Students,0.0559033775128,0.613746473191,0.0921891211869,0.0837094422501,0.032158452838,0.0455810584875,0.0254385596969
