resource_name,occurrences,MIN(observed_events.observed_event_duration),MAX(observed_events.observed_event_duration),AVG(observed_events.observed_event_duration),STD(observed_events.observed_event_duration)
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_10/Sinusoidal_Steady_State/,806199,0,3592,61.9397,227.6227745570534
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Overview/Welcome/,772932,0,3600,29.7039,151.41046219254937
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_2/Linearity%2C_Thevenin_and_Norton%3B_Digital/,760134,0,3600,120.4425,331.63726444396525
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_5/MOSFET_Amplifiers%3A_Small_signal_model/#,758412,0,3600,51.6070,199.73507514277162
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_7/Speed_of_Digital_Circuits/#,721024,0,3599,47.6588,185.31160325385483
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_7/Inductors_and_First-Order_Circuits/,706535,0,3600,57.4421,214.6663540069009
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_10/The_Impedance_Model/,705527,0,3598,47.8939,191.7265411984212
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_10/Sinusoidal_Steady_State/#,702386,0,3600,63.6582,230.40726848934602
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_5/MOSFETs/,672836,0,3600,153.9634,367.0155316992698
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_8/State_and_Memory/,654377,0,3596,55.0826,206.8276424184961
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_13/Op_Amps_Positive_Feedback/,625760,0,3600,56.8179,216.97379603394907
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_6/Homework/,613200,0,3600,137.5976,340.1072431651985
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_13/Op_Amps_Positive_Feedback/#,607413,0,3600,57.3780,214.46096052862
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_10/The_Impedance_Model/#,602599,0,3599,48.9304,186.43365140969686
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_12/Operational_Amplifier_Circuits/,593939,0,3600,64.3166,233.83901398289305
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Midterm_Exam/Midterm_Exam/,583216,0,3599,252.9403,552.5299583796345
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Final_Exam/Final_Exam/,581686,0,3600,260.5156,561.8462828589207
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_12/Operational_Amplifier_Circuits/#,535421,0,3600,66.6598,234.27478333602733
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_7/Inductors_and_First-Order_Circuits/#,494848,0,3596,63.0069,217.5985874941242
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_8/State_and_Memory/#,477652,0,3599,59.5505,210.47319727311736
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_8/Homework/,467622,0,3600,145.2521,344.3538996068393
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_9/Homework/,463274,0,3600,130.5867,321.02746230202206
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Overview/Lab0%3A_Using_the_tools/,436417,0,3597,80.1921,253.90546448450795
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_10/Homework/,428492,0,3598,137.2722,341.84429194545606
https://6002x.mitx.mit.edu/book#,392529,0,3600,63.8903,234.12446222452047
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_13/Energy_and_Power/,383768,0,3591,48.9846,196.01000470913
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_11/Time_Domain_Versus_Frequency_Domain_Analysis/,377205,0,3593,55.5220,215.60850838118304
https://6002x.mitx.mit.edu/section/is_it_linear/,359469,0,3587,13.4583,81.58298405119965
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_1/Resistor_Divider/,352158,0,3599,120.9124,352.67691673536297
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_13/Energy_and_Power/#,341449,0,3591,53.2844,199.82192545704322
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_11/Homework/,295492,0,3600,135.8241,355.6543917074181
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Overview/Circuit_Sandbox/,288792,0,3599,125.4555,383.33600991770487
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_12/Homework/,279076,0,3599,141.3705,352.00801462386437
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_2/Lab2b%3A_Mixing_Two_Signals/,267564,0,3599,180.3671,429.29869241140676
https://6002x.mitx.mit.edu/section/3r_nodal/,249938,0,3581,53.3444,186.07337160620364
https://6002x.mitx.mit.edu/wiki/view/,249422,0,3598,137.9333,381.37702283732386
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_11/Time_Domain_Versus_Frequency_Domain_Analysis/#,242555,0,3594,56.1959,211.58583700473687
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_1/Week_1_Tutorials/,241537,0,3599,46.5298,239.22788922652137
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_14/Energy_and_CMOS_Design/,228597,0,3599,49.1293,197.71020535738688
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_5/Mosfet_Amplifier/,219036,0,3600,114.4532,290.7381393342275
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_7/Homework/,219024,0,3600,131.4019,337.8484568720234
https://6002x.mitx.mit.edu/section/week3_gjs/,217527,0,3594,32.5152,144.88343403614482
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_14/Breaking_the_Abstraction_Barrier/,200168,0,3592,41.5001,186.11628593866058
https://6002x.mitx.mit.edu/section/circuit_abstraction/,196385,0,3574,27.6379,130.94564362831392
https://6002x.mitx.mit.edu/section/is_it_linear/#,193455,0,3548,13.3499,82.5312233723558
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_6/Propagation_Delay/,187707,0,3600,134.9058,318.09419308274545
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_10/Impedance_%26_Frequency_Response/,183663,0,3599,182.4749,378.2545421712449
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_8/First-order_Transients/,183019,0,3594,124.3601,295.0618153213969
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_3/Logic_Gate_Implementation/,176579,0,3600,155.3790,385.548780909955
https://6002x.mitx.mit.edu/book/0,174143,0,3595,46.4570,200.37213935523985
https://6002x.mitx.mit.edu/section/a_real_circuit/,165844,0,3563,39.3531,151.66585109924344
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_4/Curve_Tracer/,164285,0,3599,158.5332,384.5331253516564
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_7/Capacitors_and_Energy_Storage/,159132,0,3596,137.8699,317.7524363811464
https://6002x.mitx.mit.edu/section/labintro/,146694,0,3571,48.9925,197.72426813571946
https://6002x.mitx.mit.edu/section/problem_1-2_part1/,146503,0,3589,27.5455,135.3386643372123
https://6002x.mitx.mit.edu/section/floating_voltage_3r/,146181,0,3594,42.8235,162.66562056886562
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_14/Breaking_the_Abstraction_Barrier/#,139333,0,3589,44.5897,192.9580744320891
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_14/Energy_and_CMOS_Design/#,137131,0,3567,55.4365,202.44076640913337
https://6002x.mitx.mit.edu/section/wk9_DC/,134712,0,3598,36.6587,168.82406909249713
https://6002x.mitx.mit.edu/book/39,132426,0,3584,66.1928,231.20664534026304
https://6002x.mitx.mit.edu/section/superposition/,132067,0,3573,22.7041,122.96429602393611
https://6002x.mitx.mit.edu/section/6002-Tutorial-Week2Thev/,131418,0,3597,46.7247,181.6645136179479
https://6002x.mitx.mit.edu/section/wk10_Complex/,126680,0,3593,44.4473,190.2968546252411
https://6002x.mitx.mit.edu/section/combination_rules/,124479,0,3575,36.0355,151.42637311029372
https://6002x.mitx.mit.edu/section/week3_gjs/#,124253,0,3525,33.4909,140.31866294576537
https://6002x.mitx.mit.edu/section/wk6_bVTM/,121442,0,3597,57.3915,218.40760178213566
https://6002x.mitx.mit.edu/section/parallel_resistors/,121038,0,3589,33.9550,144.3704964162606
https://6002x.mitx.mit.edu/section/week3_ex_5_5/,111688,0,3600,32.7767,156.8870679231893
https://6002x.mitx.mit.edu/section/wk5_bjt/,110983,0,3514,17.4926,116.77642464546575
https://6002x.mitx.mit.edu/section/three-series-resistors/,107296,0,3595,26.9951,133.81271216509842
https://6002x.mitx.mit.edu/section/MathReview1/,104721,0,3598,60.6006,231.84492191447046
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_9/Second-order_Circuits/,104564,0,3599,160.1886,373.25720453913686
https://6002x.mitx.mit.edu/section/wk5_op/,104350,0,3600,18.6633,117.82929406142463
https://6002x.mitx.mit.edu/section/problem_1_3/,104080,0,3586,46.1890,184.63247581988026
https://6002x.mitx.mit.edu/section/three-series-resistors-slow/,103601,0,3590,48.8229,179.3053884231326
https://6002x.mitx.mit.edu/section/speakers/,101622,0,3589,48.2169,183.95752711749526
https://6002x.mitx.mit.edu/book/70,100246,0,3583,48.4646,200.29776489669126
https://6002x.mitx.mit.edu/section/series_and_parallel/,98633,0,3485,23.1329,123.09230640540355
https://6002x.mitx.mit.edu/section/wk4t7/,95447,0,3576,39.7432,165.0998043105464
https://6002x.mitx.mit.edu/section/ex_1_2/,95053,0,3568,47.9749,174.97156754401155
https://6002x.mitx.mit.edu/book-shifted/335,92105,0,3593,118.6644,354.48284890766564
https://6002x.mitx.mit.edu/section/intro/,90959,0,3555,21.7422,125.2186562797212
https://6002x.mitx.mit.edu/section/sec_3_ex_5_6_pt1/,89865,0,3590,39.0136,176.280949334985
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_11/Resonance/,84882,0,3599,165.2066,369.134714340297
https://6002x.mitx.mit.edu/book/54,84478,0,3567,51.6854,209.62267924824317
https://6002x.mitx.mit.edu/section/wk9_DC/#,83495,0,3582,37.8736,175.02622968881437
https://6002x.mitx.mit.edu/section/wk6_tiff2/,82283,0,3596,35.6460,153.03707124950563
https://6002x.mitx.mit.edu/section/wk3tut3/,82033,0,3585,35.4035,146.15919184821746
https://6002x.mitx.mit.edu/section/problem_1-1/,81445,0,3597,36.3743,156.3796806700905
https://6002x.mitx.mit.edu/section/wk4t3/,81314,0,3597,55.6251,204.63398880296225
https://6002x.mitx.mit.edu/section/wk10_Complex/#,80619,0,3557,40.3748,167.02241631924963
https://6002x.mitx.mit.edu/section/wk4t2/,77568,0,3594,31.5374,147.80682646785303
https://6002x.mitx.mit.edu/book/27,77440,0,3586,63.4037,231.42165294288174
https://6002x.mitx.mit.edu/section/wk6_s3/,76166,0,3579,24.1771,133.17418338668514
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_12/Op_Amps/,74714,0,3598,175.3732,433.0860004167189
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_2/Superposition_experiment/,73690,0,3600,266.7371,569.6994343081628
https://6002x.mitx.mit.edu/section/wk4t1/,73018,0,3578,46.9188,175.58897792341529
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_2/Week_2_Tutorials/,71813,0,3583,55.7148,275.55119072676183
https://6002x.mitx.mit.edu/book-shifted/305,69465,0,3598,73.4195,267.786957219498
https://6002x.mitx.mit.edu/section/instructor_interview/,68442,0,3533,83.7180,283.95753624228894
https://6002x.mitx.mit.edu/section/cardiac/,65844,0,3582,39.2914,166.72915849987646
https://6002x.mitx.mit.edu/book-shifted/525,63976,0,3577,71.3421,240.06033370253093
https://6002x.mitx.mit.edu/section/wk4t6/,63843,0,3593,52.7345,194.93447757362676
https://6002x.mitx.mit.edu/section/wk3tut4/,63669,0,3599,36.7048,160.60015200970227
https://6002x.mitx.mit.edu/section/wk10_CS/,63657,0,3565,21.7529,129.005583371008
https://6002x.mitx.mit.edu/section/getting_data/,62911,0,3485,29.5034,128.11975665256728
https://6002x.mitx.mit.edu/section/wk6_tiff1/,60558,0,3594,55.1561,224.6540413919373
https://6002x.mitx.mit.edu/section/wk5_bjt/#,57869,0,3526,20.0003,130.42230704421462
https://6002x.mitx.mit.edu/book-shifted/533,56694,0,3595,90.8183,267.9725040825561
https://6002x.mitx.mit.edu/book-shifted/671,55708,0,3578,77.2542,267.2716877989741
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Midterm_Exam/Midterm_Exam/#,55595,0,3588,198.3215,503.06097279160883
https://6002x.mitx.mit.edu/section/wk5_8.5/,54082,0,3583,54.9116,216.5380433859907
https://6002x.mitx.mit.edu/section/wk5_7.17/,52816,0,3585,35.7659,151.52463013331575
https://6002x.mitx.mit.edu/book/145,50761,0,3600,53.3961,226.24002023930143
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_4/Week_4_Tutorials/,50490,0,3592,48.6811,254.18610757979005
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_3/Week_3_Tutorials/,50136,0,3598,47.4378,245.9809949348897
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Final_Exam/Final_Exam/#,49457,0,3599,230.5897,534.2372064199047
https://6002x.mitx.mit.edu/section/wk10_CS/#,46886,0,3575,21.5375,123.45435775825713
https://6002x.mitx.mit.edu/book-shifted/504,46303,0,3575,40.2413,169.908838022671
https://6002x.mitx.mit.edu/section/wk5_7.12/,46179,0,3591,40.4106,179.07794350794418
https://6002x.mitx.mit.edu/book-shifted/859,45242,0,3588,86.4134,321.3127081998582
https://6002x.mitx.mit.edu/section/wk5_7.15/,43660,0,3589,49.5472,202.64599505179464
https://6002x.mitx.mit.edu/section/wk4t4/,43010,0,3597,46.6917,178.12252882444918
https://6002x.mitx.mit.edu/section/wk7_bp1/,42666,0,3557,53.2370,207.2961075153842
https://6002x.mitx.mit.edu/book-shifted/647,42437,0,3590,67.4390,225.15587191635083
https://6002x.mitx.mit.edu/section/wk4t10/,41853,0,3578,27.8153,117.55806996851764
https://6002x.mitx.mit.edu/book-shifted/531,40264,0,3582,86.0036,251.88972951557977
https://6002x.mitx.mit.edu/section/problem_1-2_part1/#,40242,0,3536,35.6641,153.78295928703693
https://6002x.mitx.mit.edu/section/wk4t9/,39888,0,3595,44.8431,188.832631999788
https://6002x.mitx.mit.edu/section/wk4t5/,39250,0,3356,31.6729,151.9856043805417
https://6002x.mitx.mit.edu/section/three-resistors-in-parallel-slow/,38805,0,3583,42.9110,170.64402868778726
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_1/Basic_Circuit_Analysis/#,38752,0,3600,143.7783,349.6273713095404
https://6002x.mitx.mit.edu/section/wk6_bCP/,38688,0,3568,53.3106,206.91420173269097
https://6002x.mitx.mit.edu/section/wk5_op/#,37670,0,3470,20.4869,112.53159861506467
https://6002x.mitx.mit.edu/section/wk4t11/,37289,0,3595,32.8927,150.05957372279147
https://6002x.mitx.mit.edu/section/three-resistors-in-parallel/,37228,0,3591,32.5408,146.47974722218933
https://6002x.mitx.mit.edu/book/408,37206,0,3493,36.8186,181.30272783834107
https://6002x.mitx.mit.edu/section/wk13_solder/,37077,0,3547,79.8168,280.1900717076486
https://6002x.mitx.mit.edu/section/sec_3_ex_5_6_pt1/#,36692,0,3555,33.3326,152.55516068732246
https://6002x.mitx.mit.edu/wiki/view/MathReview,35427,0,3600,106.8044,370.9539280694249
https://6002x.mitx.mit.edu/section/exercise_1_1/,33368,0,3572,27.6903,174.43597290256585
https://6002x.mitx.mit.edu/section/MidtermFormatExamples/,32734,0,3600,159.4964,433.238259054308
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_5/Week_5_Tutorials/,32469,0,3573,43.4494,235.43345742631124
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_5/Mosfet_Amplifier_Experiment/,32302,0,3600,151.7057,409.28412187482405
https://6002x.mitx.mit.edu/section/wk9_12_1/,31943,0,3560,54.9132,221.93291990771883
https://6002x.mitx.mit.edu/wiki/view/QuestionAnswerFAQ,31332,0,3600,81.0306,292.7432329315745
https://6002x.mitx.mit.edu/section/wk11_13_4/,30806,0,3486,36.0015,177.25373932326303
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_6/Week_6_Tutorials/,29906,0,3541,47.3870,244.97441131244045
https://6002x.mitx.mit.edu/section/wk8_t4/,29886,0,3470,47.4045,199.71296885921353
https://6002x.mitx.mit.edu/section/wk6_bCS/,29877,0,3426,38.5534,158.69498734202617
https://6002x.mitx.mit.edu/section/superposition/#,29052,0,3593,41.2884,167.95964144135496
https://6002x.mitx.mit.edu/section/wk9_LCOT/,28993,0,3583,62.7919,231.20653196416828
https://6002x.mitx.mit.edu/book-shifted/344,28795,0,3597,40.3547,179.50225437058123
https://6002x.mitx.mit.edu/book/214,27574,0,3575,44.7360,199.7500786671236
https://6002x.mitx.mit.edu/book-shifted/338,26757,0,3588,109.7803,346.7435019207018
https://6002x.mitx.mit.edu/section/wk4t2/#,26634,0,3302,32.0389,141.14763553181155
https://6002x.mitx.mit.edu/section/wk9_MCT/,26478,0,3552,53.8042,219.78202908116276
https://6002x.mitx.mit.edu/section/wk7_captype/,24784,0,3508,48.6977,176.34158994354888
https://6002x.mitx.mit.edu/section/wk13_FreqResp/,24202,0,3587,75.8230,270.1854607397051
https://6002x.mitx.mit.edu/book/89,24091,0,3549,56.0050,213.47069502991695
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_3/Digital_and_Nonlinear/#,23561,0,3576,122.4256,297.9666712320978
https://6002x.mitx.mit.edu/book-shifted/798,23328,0,3553,61.4920,245.1749697593741
https://6002x.mitx.mit.edu/book-shifted/737,23187,0,3481,60.7592,223.54149692356776
https://6002x.mitx.mit.edu/book-shifted/465,23144,0,3581,78.4596,275.7287052211612
https://6002x.mitx.mit.edu/book/288,22858,0,3573,40.3899,185.70497232455187
https://6002x.mitx.mit.edu/book-shifted/641,22623,0,3559,81.9480,265.1753211995476
https://6002x.mitx.mit.edu/book/258,22538,0,3485,40.9551,196.39137861281466
https://6002x.mitx.mit.edu/book-shifted/341,22013,0,3510,78.8584,275.64653319516606
https://6002x.mitx.mit.edu/section/wk9_12_8/,21997,0,3456,45.3978,199.310851761608
https://6002x.mitx.mit.edu/book-shifted/738,21540,0,3567,68.2868,252.67430616647357
https://6002x.mitx.mit.edu/section/wk4t12/,21397,0,3578,37.7119,173.83946310914683
https://6002x.mitx.mit.edu/section/wk12_15_3/,21303,0,3543,55.3331,226.07490045176576
https://6002x.mitx.mit.edu/section/Thevenin/,21142,0,3576,47.3481,191.5969107513538
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_10/RC_Filters_Experiment/,20958,0,3598,214.5800,480.93316550212353
https://6002x.mitx.mit.edu/book/78,20703,0,3560,64.5213,230.01450367199658
https://6002x.mitx.mit.edu/section/wk10_13_18/,20464,0,3530,58.3133,237.5944683651974
https://6002x.mitx.mit.edu/section/wk11_13_9/,20294,0,3479,54.2040,221.34615849414936
https://6002x.mitx.mit.edu/book-shifted/777,20030,0,3506,52.2371,213.54382648413986
https://6002x.mitx.mit.edu/wiki/list,19992,0,3562,81.0270,273.69890255371985
https://6002x.mitx.mit.edu/section/wk7_tiff1/,19811,0,3549,36.7554,180.95604328623526
https://6002x.mitx.mit.edu/book/66,19698,0,3550,44.6511,203.50968883589783
https://6002x.mitx.mit.edu/section/wk6_tiff2/#,19051,0,3322,40.0649,169.22913961840075
https://6002x.mitx.mit.edu/section/wk4t8/,18791,0,3540,46.0928,176.64241379507803
https://6002x.mitx.mit.edu/book/243,18640,0,3590,42.1195,198.68657420915054
https://6002x.mitx.mit.edu/section/wk7_tiff2/,18407,0,3589,40.2671,168.4699048689214
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Overview/Lab0%3A_Using_the_tools/#,18274,0,3478,73.3483,226.77236438420508
https://6002x.mitx.mit.edu/section/wk8_tiff2/,18236,0,3442,46.9197,195.7546883976595
https://6002x.mitx.mit.edu/info#,18024,0,3562,125.4633,397.3320509959437
https://6002x.mitx.mit.edu/profile#,17957,0,3589,118.8949,392.1626644062521
https://6002x.mitx.mit.edu/courseware/#,17904,0,3598,76.2556,315.952878535701
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_7/Week_7_Tutorials/,17783,0,3600,54.6067,263.1741024130278
https://6002x.mitx.mit.edu/section/wk12_Cx/,17775,0,3593,35.9291,175.47898869526884
https://6002x.mitx.mit.edu/book/157,17557,0,3466,49.9340,219.3097819464149
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_2/Linearity%2C_Thevenin_and_Norton%3B_Digital/#,17538,0,3599,129.8514,332.01663735987944
https://6002x.mitx.mit.edu/book/215,17048,0,3438,42.1659,177.45090544478978
https://6002x.mitx.mit.edu/section/wk9_12_1/#,16965,0,3585,43.5553,164.19593390894116
https://6002x.mitx.mit.edu/book-shifted/534,16824,0,3393,80.5426,251.58365779920825
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Overview/Welcome/#,16527,0,3573,27.8262,162.08006980152047
