State,questions,answers,comments,wiki revisions
A,0.0991574493356,0.433542424467,0.420347412961,0.0469527132358
B,0.13322248779,0.379091759327,0.454380130936,0.0333056219474
C,0.152642322522,0.365842594693,0.469040598775,0.01247448401
Else,0.173050241749,0.387092705487,0.38091233971,0.0589447130544
