['1',213],
['2',2827],
['3',2178],
['4',1875],
['5',1378],
['6',1442],
['7',1204],
['8',1438],
['9',1346],
['10',1198],
['11',1024],
['12',1197],
['13',1148],
['14',1142],
['15',1370],
['16',867],
['17',697],
['18',760],
['19',723],
['20',742],
['21',804],
['22',1356],
['23',778],
['24',672],
['25',668],
['26',642],
['27',734],
['28',946],
['29',1294],
['30',721],
['31',772],
['32',775],
['33',658],
['34',659],
['35',930],
['36',1671],
['37',854],
['38',793],
['39',559],
['40',619],
['41',679],
['42',855],
['43',1025],
['44',640],
['45',518],
['46',626],
['47',458],
['48',531],
['49',839],
['50',1001],
['51',691],
['52',535],
['53',675],
['54',749],
['55',859],
['56',1128],
['57',1293],
['58',1478],
['59',1027],
['60',971],
['61',796],
['62',703],
['63',783],
['64',791],
['65',650],
['66',490],
['67',458],
['68',604],
['69',519],
['70',655],
['71',789],
['72',615],
['73',489],
['74',428],
['75',413],
['76',598],
['77',603],
['78',994],
['79',630],
['80',716],
['81',523],
['82',527],
['83',578],
['84',648],
['85',755],
['86',465],
['87',305],
['88',351],
['89',401],
['90',392],
['91',409],
['92',567],
['93',430],
['94',534],
['95',560],
['96',728],
['97',852],
['98',826],
['99',1341],
['100',3096],
['101',2302],
['102',1849],
['103',1026],
['104',506],
['105',406],
['106',270],
['107',283],
['108',207],
['109',196],
['110',131],
['111',107],
['112',93],
['113',96],
['114',183],
['115',135],
['116',133],
['117',91],
['118',56],
['119',67],
['120',104],
['121',130],
['122',79],
['123',52],
['124',62],
['125',36],
['126',30],
['127',33],
['128',28],
['129',17],
['130',30],
['131',20],
['132',40],
['133',40],
['134',21],
['135',41],
['136',75],
['137',74],
['138',42],
['139',56],
['140',50],
['141',44],
['142',20],
['143',98],
['144',60],
['145',28],
['146',39],
['147',30],
['148',58],
['149',67],
['150',33],
['151',48],
['152',25],
['153',26],
['154',45],
['155',35],
['156',44],
['157',43],
['158',28],
['159',14],
['160',14],
['161',13],
['162',4],
['163',18],
['164',10],
['165',15],
['166',23],
['167',14],
['168',16],
['169',47],
['170',23],
['171',6],
['172',41],
['173',27],
['174',9],
['175',10],
['176',11],
['177',3],
['178',19],
['179',15],
['180',15],
['181',16],
['182',17],
['183',14],
['184',9],
['185',19],
['186',48],
['187',31],
['188',12],
['189',34],
['190',26],
['191',16],
['192',5],
['193',6],
['194',15],
['195',3],
['196',18],
['197',12],
['198',5],
['199',14],
['200',9],
['201',11],
['202',6],
['203',10],
['204',27],
['205',9],
['206',3],
['207',16],
['208',7],
['209',12],
['210',15],
['211',6],
['212',21],
['213',7],
['214',2],
['215',11],
['216',11],
['217',9],
['218',17],
['219',27],
['220',16],
['221',17],
['222',17],
['223',13],
['224',11],
['225',19],
['226',26],
['227',10],
['228',8],
['229',7],
['230',4],
['231',3],
['232',12],
['233',9],
['234',3],
['235',12],
['236',11],
['237',7],
['238',5],
['239',2],
['240',6],
['241',7],
['242',1],
['243',11],
['244',11],
['245',12],
['246',17],
['247',18],
['248',14],
['249',13],
['250',20],
['251',5],
['252',20],
['253',8],
['254',15],
['255',16],
['256',13],
['257',16],
['258',12],
['259',3],
['261',17],
['262',3],
['263',9],
['264',7],
['265',7],
['266',4],
['267',7],
['268',6],
['269',22],
['270',9],
