country,lecture,tutorial,informational,problem,exam,wiki,profile,book,other
US,535032.1136701338,29793.777117384845,28553.747399702825,55610.824665676075,37820.15007429421,8650.126300148588,25230.31352154532,63810.220653789,31403.39747399703
IN,254088.11163895487,9684.642517814727,16554.534441805226,36943.53325415677,34066.23990498812,2718.187648456057,19395.635391923992,19059.634204275535,24406.77672209026
CN,311450.2,12955.4,17570.733333333334,50889.066666666666,37748.6,4885.066666666667,25971.933333333334,15771.8,33156.4
RU,463766.00518134714,19758.326424870465,17547.497409326425,42989.720207253886,32293.155440414506,4243.274611398963,30016.181347150257,34406.87046632124,20389.854922279792
DE,428957.62096774194,24004.040322580644,15615.661290322581,43532.81451612903,33070.08870967742,5102.975806451613,20510.733870967742,40362.07258064516,20392.572580645163
PL,471042.2245989305,21539.385026737968,14639.962566844919,40283.17647058824,35354.26737967914,3325.6256684491977,22773.513368983957,27964.117647058825,21090.695187165777
BR,480738.3602150538,20243.83870967742,16670.516129032258,46057.12903225807,36785.06989247312,4135.360215053764,22511.322580645163,28045.575268817203,24175.107526881722
