country,lecture,tutorial,informational,problem,exam,wiki,profile,book,other
US,535032.1136701338,29793.777117384845,28553.747399702825,55610.824665676075,37820.15007429421,8650.126300148588,25230.31352154532,63810.220653789,31403.39747399703
IN,254088.11163895487,9684.642517814727,16554.534441805226,36943.53325415677,34066.23990498812,2718.187648456057,19395.635391923992,19059.634204275535,24406.77672209026
LV,518983.9411764706,20588.470588235294,17807.58823529412,46741.294117647056,37340.882352941175,6021.764705882353,24958.41176470588,39199.41176470588,25095.117647058825
HU,449895.7685950413,17274.669421487604,17417.462809917357,43053.72727272727,36512.78512396694,5246.909090909091,28121.97520661157,41967.55371900826,23830.256198347106
