grade,lecture,tutorial,informational,problem,exam,wiki,profile,book,other
A,446470.4108197496,22534.944011339474,22492.456886369004,48512.27734467281,36454.98724309001,5549.739900779589,25130.821875738246,39114.539570044886,27615.493267186393
B,443419.6216856061,21222.562973484848,21580.865530303032,50199.458333333336,36569.20975378788,5777.871685606061,24788.933238636364,48002.38210227273,26351.243844696968
C,354498.54858548584,15929.046740467405,16786.60270602706,37418.11685116851,30748.90282902829,4079.3468634686346,18897.09225092251,34787.553505535056,21321.025830258302
