grade,lecture,tutorial,informational,problem,exam,wiki,forum,profile,index,book,survey,home,other
A,0.6297267717378309,0.02636571701530686,0.03216717638738202,0.08723060968689383,0.07318585856470075,0.007179180823960713,0.0,0.04374585479767328,0.0,0.05239632115302392,0.0,0.0,0.04770065870537359
B,0.6163344741153304,0.023861397864484442,0.03181474804843704,0.08459312218619464,0.08345397772323904,0.0072215752796675504,0.0,0.04369266343351994,0.0,0.06315960211136196,0.0,0.0,0.04552150178376713
C,0.5922982020738673,0.022018973525177753,0.03250728097206209,0.07773530894248987,0.119182001620954,0.006554000717963158,0.0,0.045112009462988406,0.0,0.056071635167515455,0.0,0.0,0.04814569098598663
