country,lecture,tutorial,informational,problem,exam,wiki,forum,profile,index,book,survey,home,other
US,0.647329570032204,0.0305522037251839,0.03255276634395319,0.07666761413087396,0.058431598692750046,0.009126027838738737,0.0,0.03287461014445706,0.0,0.07143313736624676,0.0,0.0,0.040676859222150905
IN,0.5405685996186563,0.01727074934597953,0.039014737421559254,0.10399738078904734,0.12708896278473192,0.005713281266740394,0.0,0.056428821768993866,0.0,0.04156351897815266,0.0,0.0,0.06822594241346355
CH,0.6446148657399294,0.04012362950278833,0.023744000753756263,0.07445061484757505,0.08691717806626251,0.007061453884996563,0.0,0.04299756567043895,0.0,0.046162655410176195,0.0,0.0,0.03392803612407681
