State,A,B,C,else
students,4233,2112,813,46164
questions,0.42084121,0.201953371,0.053008822,0.324196597
answers,0.563227813,0.175904718,0.038889023,0.221978446
comments,0.532652917,0.205653411,0.048632505,0.213061167
wiki revisions,0.546672429,0.138504754,0.011884183,0.302938634
